RE_Identity	Normalized	FOLD	condensed
SpSp	0.668227581362679	-1.27036026540629	SpSp
hh7S	0.8248133256749	-0.966632156067961	hh7S
hpSS	0.275438596491228	-2.54896906240039	hpSS
7B7p	0.416737468139337	-1.95156098105912	77p
pSSp	0.647577092511013	-1.31564784469446	pSSp
hB7h	0.34407027818448	-2.227996523965	h7h
pphh	0.301576099741237	-2.41817769926034	pphh
php7	0.401429035401104	-2.00555482638035	php7
hBB7	0.692102251049218	-1.21971460003981	h7
7hSB	0.348384793860432	-2.21001814190722	7hS
B77B	0.367688022284123	-2.13221761670451	77
B7BB	0.622099626805127	-1.37355415634037	7
pBp7	0.268227909222598	-2.58724043907133	pp7
7ppp	1.43516050527292	-0.167559608396652	7ppp
77ph	0.273329751029912	-2.56005729618569	77ph
ppSh	0.582107547624789	-1.46941407339085	ppSh
SShh	0.42608469732398	-1.9195595585453	SShh
7Sph	0.295045944866161	-2.44976016716345	7Sph
B7Sp	0.328919002155836	-2.29296743983845	7Sp
B7hp	0.518343489615719	-1.63679135455114	7hp
Bhhh	0.244444444444444	-2.72119317993229	hhh
hhhB	8.46637989585692	2.39297352319557	hhh
S7hB	0.618078805047644	-1.38290900365251	S7h
7S77	0.466194462330972	-1.78976792954401	7S77
hS7B	0.507903780068728	-1.66614458588941	hS7
7pB7	0.387770897832817	-2.05549526373863	7p7
BSS7	0.553081305023304	-1.54320821950301	SS7
S77S	0.501023890784983	-1.68582039870631	S77S
BhS7	0.445766837976738	-1.85441050324394	hS7
SpSB	0.849199042533603	-0.92459705251234	SpS
SShh	0.387781818181818	-2.05545463533768	SShh
6merx2	2.1095802627363	0.388184276262504	6merx2
pS7p	0.424980665119876	-1.92330259110093	pS7p
hphB	3.13792627364352	0.961039753986303	hph
h77p	0.457964601769911	-1.81546370715577	h77p
SBhp	0.700982686008423	-1.20132098644097	Shp
S7Bp	0.63984778472411	-1.33297105817444	S7p
hp7S	0.471760797342193	-1.77264425949493	hp7S
hphp	3.67456986991188	1.18880368162393	hphp
php7	0.311155152887882	-2.37306565893915	php7
phpB	1.10030549898167	-0.550867559695097	php
p7hp	0.642712076238088	-1.32652721698065	p7hp
hShB	4.30687397708674	1.41786940743413	hSh
hS7h	0.419624217118998	-1.94160185679716	hS7h
B7BS	0.834123222748815	-0.950439272309799	7S
B777	0.226190476190476	-2.83316161157509	777
7p7p	0.487095002745744	-1.72649661491569	7p7p
S7pB	0.459138187221397	-1.81177136894585	S7p
ShSB	0.514533622559653	-1.64743444301061	ShS
h7pS	0.591078066914498	-1.44735110951218	h7pS
77S7	0.429359823399558	-1.90851259729995	77S7
S7hh	0.194094226940942	-3.05394258936697	S7hh
7BSB	0.621151271753681	-1.37575513990158	7S
BB7S	0.46654740608229	-1.78867611573939	7S
77pS	0.213185459026494	-2.91859075915116	77pS
BBBp	1.42649524874231	-0.17629676052695	p
pSBB	0.520133481646274	-1.63181788811006	pS
hhSh	0.51988959246631	-1.63249452255341	hhSh
BBS7	0.430054374691053	-1.9061807160621	S7
BShB	1.16652926628195	-0.466549199641177	Sh
Sh7p	0.594569288389513	-1.43885485226794	Sh7p
BBpS	0.793824701195219	-1.02187934220021	pS
SS7S	0.480139676996945	-1.74724563713256	SS7S
BBpS	1.41222570532915	-0.190801020191242	pS
7SpB	0.582628747117602	-1.46812291078661	7Sp
pBp7	0.357253484770263	-2.17375171320644	pp7
Sp77	0.228571428571429	-2.81805471918488	Sp77
pSBB	0.426554918394354	-1.91796829850386	pS
pShB	2.5205688166582	0.644977641155655	pSh
7Bp7	0.432407966203983	-1.89830669519922	7p7
7BSB	0.970430864545199	-0.732074361035934	7S
7pcx4	0.114519427402863	-3.81510743513454	7pcx4
pShp	0.610890527509926	-1.39978592701589	pShp
hSh7	0.69435765484286	-1.21502082891139	hSh7
h7BS	0.278238672622846	-2.53437684193557	h7S
pSh7	0.184249084249084	-3.1290423482416	pSh7
SB7p	0.62826420890937	-1.3593284024638	S7p
pppS	0.201692047377327	-2.99854559684264	pppS
SBpS	1.71395881006865	0.0885607367182414	SpS
Control	0.911699333198626	-0.822141676708121	Control
p7SB	0.288061865635573	-2.48432111163776	p7S
B7B7	0.486407053637032	-1.72853564693669	77
pSBS	0.815415821501014	-0.983163847438894	pSS
hBS7	0.525407478427613	-1.61726306179915	hS7
Bhpp	1.82915057915058	0.182402143131989	hpp
77BS	0.503677758318739	-1.67819877205082	77S
BpBp	0.985971943887776	-0.709153202237932	pp
